,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
T0102,1301,1795,2002,2103,2330,2412,2603,2634,2881,2883,3017,3293,3708,4906,6443,6477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1301,2059,2103,2368,2634,2890,2891,2892,3443,3533,3596,3661,3708,4906,5388,6285,8028,8069,8924,8996,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,1795,2059,2103,2313,2330,2351,2368,2412,2603,2634,2891,2892,3017,3037,3596,3661,3708,4906,5388,6217,8028,8046,8069,8924,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1513,1795,2059,2103,2313,2330,2351,2368,2603,2634,2891,2892,3017,3596,3708,4906,5388,6217,8028,8069,8924,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1101,1102,1216,1301,1904,2002,2103,2330,2412,2603,2634,2881,2882,2883,2891,2892,3293,3708,4906,6443,6477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1795,2317,2345,2412,2812,2834,3045,3088,3491,3558,3707,4105,4162,4175,4506,4904,6147,6180,6469,6470,6472,6561,6803,8279,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1301,1795,2317,2345,2412,2812,2834,2884,2890,3045,3088,3491,3558,3707,4105,4162,4904,6176,6180,6469,6470,6472,6505,6561,6803,8938,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1560,2303,2313,2317,2330,2345,2357,2368,2382,2383,2395,2412,2454,2886,3017,3035,3037,3443,3533,3653,3711,4739,4919,5274,5425,5434,6488,6719,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1560,2303,2317,2330,2337,2345,2368,2382,2383,2454,2881,2882,3017,3035,3037,3443,3529,3533,3653,4919,5274,5425,6488,6719,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1301,1303,1326,2317,2330,2368,2385,2412,3037,3045,4904,4938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1301,1303,1476,1590,1722,2002,2006,2204,2603,2610,2618,2707,2723,2912,3708,5871,6505,8926,8938,9910,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1301,1476,2002,2059,2303,2308,2317,2330,2345,2368,2377,2412,2454,2603,2618,2881,2882,2884,2885,2886,2891,3023,3035,3037,3189,3533,3665,3711,4551,4966,5347,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910
T0410,2059,2303,2308,2317,2330,2345,2360,2368,2379,2382,2383,2395,2408,2412,2454,3017,3023,3035,3037,3189,3413,3529,3533,3665,3711,4919,4966,5269,5274,5289,5347,5425,5434,6121,6271,6488,6669,NA,NA,NA,NA,NA
T0415,1216,1301,1476,2002,2059,2303,2308,2317,2330,2345,2368,2412,2454,2603,2618,2881,2882,2884,2886,2891,3023,3035,3037,3189,3533,3665,3711,4551,4966,5269,5347,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910
T0502,1795,2308,2317,2330,2345,2351,2368,2383,2395,2454,3017,3035,3037,3324,3443,3526,3529,3533,3653,3665,4162,4739,4958,5274,5388,5425,6217,6415,6472,6488,6491,6719,8028,9910,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1560,2308,2313,2317,2330,2368,2395,2481,3017,3037,3324,3374,3443,3529,3533,3596,3653,4128,4958,4966,5274,5425,6279,6472,6491,6719,8028,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,2313,2317,2330,2337,2368,2383,3037,3324,3529,3533,3596,3665,4162,4958,4966,5274,5388,5425,6415,6472,6719,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,2317,3105,3218,3293,3324,3529,4128,4162,4966,5483,6121,6138,6147,6217,6279,6472,8028,8069,8924,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1560,2313,2317,2330,2368,2449,3017,3035,3037,3324,3374,3529,3532,3533,4919,4958,4966,5274,5425,6415,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,2313,2317,2330,2337,2368,2383,3037,3324,3529,3596,3665,4162,4919,4958,4966,5274,5388,5425,6472,6719,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1560,1795,2313,2317,2330,2368,2395,3017,3037,3324,3443,3529,3533,3596,3653,4162,4958,5274,5388,5483,6138,6217,6415,6472,6488,6719,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1795,2308,2313,2317,2330,2345,2383,2395,3017,3037,3324,3443,3529,3596,3653,4162,4958,5274,5388,5425,5483,6138,6217,6415,6472,6488,6719,8046,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1303,2317,2330,2337,2377,2379,2382,2383,2408,2449,2454,3037,3596,3711,4958,5274,5483,6121,6147,6239,6488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,2059,2303,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3105,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA,NA,NA,NA
T0605,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6488,6510,8044,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA,NA,NA
T0704,2308,2330,2385,2454,2618,2882,3035,3037,3218,3526,3529,3533,3653,3661,4919,5274,6104,6271,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1513,2317,2330,2368,2618,2634,2891,3017,3035,3037,3189,3529,3533,3653,3661,4919,4966,5274,5388,6271,6488,6491,6515,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1319,1560,2330,2368,2634,2891,3017,3035,3037,3529,3533,3653,3661,4551,4919,5269,5274,5388,5483,6104,6271,6515,6669,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1319,2317,2330,2368,2610,2634,2891,3017,3035,3037,3189,3218,3529,3533,3653,3661,3665,3708,4919,4958,5269,5274,5288,5388,5483,6104,6271,6488,6669,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1301,1476,1590,2059,2308,2317,2330,2368,2454,2881,2882,2886,2891,3017,3035,3037,3189,3596,3665,4551,4927,4966,5269,5274,5871,6271,6278,6415,6491,6505,6669,6679,8046,8155,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1477,1560,1590,1795,2308,2330,2379,2454,2455,2881,2882,3017,3035,3037,3189,3533,3596,3653,3665,4551,4739,4927,4966,5269,5274,5871,6104,6271,6279,6491,6515,6669,6683,6719,8069,8155,9910,9914,NA,NA,NA
T0806,1795,2454,2455,3037,3105,3189,3217,3264,3293,3491,4927,4953,4966,5269,5274,5289,5306,5425,6104,6121,6138,6274,6279,6446,6488,6683,6719,8069,8155,8255,8299,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2059,2308,2317,2330,2368,2412,2454,3017,3035,3037,3045,3443,3596,3661,3665,4551,4927,5269,5274,6239,6271,6278,6285,6719,8028,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1301,1476,1477,1795,2059,2207,2330,2345,2368,2379,2383,2395,2618,2707,2890,3034,3037,3105,3189,3293,3533,3596,3653,3665,4739,4770,4927,4966,5269,5274,5425,6271,6278,6415,6488,6679,8046,8255,8924,9914,NA,NA
T0812,1301,1590,1795,2002,2027,2455,2603,2610,2618,2634,2881,2882,2884,2886,2890,2891,2912,3105,4551,4739,4755,4770,5871,5876,6285,6505,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0901,2313,2330,2351,2368,2383,2603,2618,2637,3017,3035,3037,3189,3324,3443,3529,3533,3653,3661,3665,3675,3707,4919,4966,5274,5483,6271,6781,8016,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1301,1476,1590,1605,2049,2308,2313,2317,2330,2345,2351,2368,2383,2474,2618,3008,3017,3037,3324,3374,3443,3552,3653,3675,3707,4162,4739,4919,5425,6415,6781,8069,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1319,1605,1760,1795,2049,2308,2313,2330,2368,2637,3008,3017,3035,3037,3105,3189,3324,3533,3596,3653,3661,3665,3708,4551,4739,5425,6271,6505,6781,8069,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1301,1605,1795,2313,2330,2345,2351,2368,2383,2603,3008,3017,3037,3533,3558,3596,3653,3665,3707,4551,4739,4919,5274,5388,6285,6781,8046,8069,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1301,1476,1590,1605,2049,2308,2313,2317,2330,2345,2351,2368,2383,2474,2618,3008,3017,3037,3324,3374,3443,3533,3552,3653,3675,3707,4162,4551,4739,4919,5425,6515,6781,8069,9802,9914,NA,NA,NA,NA,NA,NA
T0909,1301,2049,2313,2317,2330,2351,2368,2383,2884,2886,2891,3008,3017,3105,3374,3443,3533,3596,3653,3665,3707,4551,4958,5388,6271,6505,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1795,2049,2313,2330,2351,2368,2383,2603,2618,3008,3017,3037,3045,3105,3324,3443,3533,3596,3653,3661,3665,3707,3708,4551,5388,5483,6271,6414,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1301,1605,2313,2330,2345,2351,2368,2603,3008,3017,3037,3533,3558,3596,3653,3665,3707,4551,5274,6271,6285,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1795,2313,2330,2345,2351,2368,2383,2886,3008,3017,3037,3105,3217,3374,3443,3455,3533,3596,3653,3665,3675,3707,3708,4551,5388,5483,6271,6414,8069,8255,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1301,2308,2313,2317,2330,2345,2351,2360,2368,2383,2618,2882,2886,2891,3008,3017,3035,3037,3105,3443,3529,3533,3645,3653,3665,3707,3708,4958,5274,5425,6415,6488,6546,6781,8046,8069,9802,9914,NA,NA,NA,NA
T1004,2308,2317,2330,2351,2368,2379,2454,2610,2618,2891,2892,3035,3037,3105,3529,3661,3707,3708,4968,5009,5274,6271,6643,6781,8069,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1301,1476,1590,2308,2330,2345,2351,2368,2454,2886,2891,2892,3017,3035,3105,3529,3533,3596,3645,3653,3708,5274,5285,5483,5871,6271,6491,6505,6781,8069,8114,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1476,1513,2330,2351,2368,2455,2618,2634,2637,2732,2891,2892,3017,3035,3105,3189,3529,3533,3653,3661,3665,3675,3707,4919,4968,5274,5425,6196,6271,6469,6488,6669,6781,6806,8069,9802,9910,9914,9941,NA,NA,NA
T1011,1476,1513,1590,2330,2351,2368,2455,2618,2634,2637,2732,2891,2892,3017,3035,3037,3105,3529,3533,3653,3661,3665,3675,3707,4919,4968,5483,6196,6271,6469,6669,6806,8046,8069,9802,9910,9914,9941,NA,NA,NA,NA
T1012,2303,2308,2317,2330,2345,2351,2368,2379,2454,2474,2618,2637,3017,3035,3037,3443,3529,3533,3653,3661,3665,3707,3711,4919,4968,5274,5425,6196,6271,6669,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1301,2308,2317,2330,2345,2351,2368,2383,2474,2610,2882,2886,2891,3008,3017,3035,3037,3105,3443,3529,3533,3645,3653,3707,4958,5274,5425,6488,6546,6781,8046,8069,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1216,1301,1513,2308,2317,2330,2351,2382,2882,2886,2891,3017,3035,3037,3529,3533,3592,3653,3661,3665,3707,3708,4966,5274,5483,6271,6488,6546,6781,8069,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1102,1216,1301,1303,1326,1590,2002,2303,2308,2317,2330,2357,2379,2382,2395,2412,2454,2603,2881,2882,2883,2884,2885,2886,2891,2892,2912,3034,3045,3711,5871,5880,6415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,2308,2317,2330,2345,2379,2382,2454,2455,3023,3037,3443,3529,3533,4966,4968,5269,5274,6409,6415,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1101,1476,2308,2345,2377,2379,2455,2883,2884,2887,2891,2912,3023,3035,3037,3443,3529,3533,3661,4966,4968,5269,5274,6409,6415,6491,6669,8046,8069,8341,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1135,1101,1301,1476,2308,2317,2330,2345,2379,2382,2454,2881,2882,2883,2884,2887,2891,2912,3023,3037,3443,3529,3533,4966,5269,5274,5871,6415,6669,8046,8069,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1201,2233,2308,2330,2345,2351,2412,2882,2886,3003,3596,3665,3680,4551,4739,6187,6472,6781,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1762,2330,2345,2454,2618,3037,3189,3443,3491,3532,3587,3661,5425,5483,6415,6488,6491,6781,8046,8155,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,1533,2368,2634,3088,3105,3141,3218,3324,3479,3491,3526,3556,3587,3596,3707,4966,5425,5904,6279,6415,6488,6546,6568,6667,8027,8069,8091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1762,2330,2345,2454,2618,3037,3189,3443,3491,3532,3587,3661,5425,5483,6415,6488,6491,6515,6781,8046,8155,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,1301,2059,2330,2351,2368,2412,2454,2455,2886,2892,3037,3529,3532,3533,3596,3653,3707,3708,4919,4966,5243,6271,6279,6415,6488,6491,8046,8069,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2345,2454,3037,3189,3324,3374,3406,3529,3624,3653,3661,3675,3707,5009,5274,5340,6415,6719,6781,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1560,2049,2059,2308,2313,2330,2345,2395,2454,2455,2603,2609,2618,2634,2731,2891,2912,3023,3324,3491,3529,3533,3596,3653,3675,3707,4958,6415,6781,8114,8255,8454,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,2313,2317,2330,2345,2360,2395,2455,2618,2912,3017,3023,3037,3218,3374,3529,3533,3596,3624,3653,3661,3665,3675,4142,4919,5274,5309,5483,6146,6271,6279,6472,6477,6491,6669,8046,8069,8255,9914,9958,NA,NA,NA
T1609,1216,1301,2308,2313,2330,2345,2368,2395,2412,2454,2618,2882,2912,3017,3037,3045,3374,3529,3533,3596,3653,3661,3665,3707,4919,5274,5309,5388,6187,6271,6285,6477,6781,8046,8069,9921,NA,NA,NA,NA,NA,NA
T1612,2345,2618,2732,3037,3105,3131,3324,3406,3529,3624,3653,3661,3675,3707,4105,4739,4743,5009,5269,5274,5309,5340,5483,5904,6143,6187,6274,6472,6477,6712,8069,8255,8341,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,1319,2049,2201,2313,2330,2345,2352,2368,2633,2634,3017,3037,3189,3491,3707,4743,5243,6187,6223,6285,6698,8046,8069,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,1605,1795,2313,2317,2330,2345,2351,2368,3017,3037,3189,3324,3374,3443,3491,3529,3533,3596,3653,3661,3665,3675,3707,4743,4919,4927,5234,5269,5274,5309,5425,6415,6719,6781,8046,8069,NA,NA,NA,NA,NA,NA
T1701,1565,2308,2313,2317,2330,2368,2454,3037,3189,3533,3567,3653,4945,5220,5439,6274,6279,6488,8046,8109,8942,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,1580,2330,2454,2634,2640,3008,3293,3491,3551,3617,3669,4129,4549,4971,6143,6245,6279,6591,8928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1713,1565,2330,2368,3037,3189,3533,3567,3653,4945,5220,5439,6274,6279,6488,6829,8046,8109,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1101,1216,2027,2303,2308,2317,2330,2337,2351,2382,2421,2454,2912,3037,3324,3443,3529,3592,3665,3711,4551,4966,5871,5904,6147,6488,8046,9802,9933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,2201,2313,2330,2368,3017,3037,3533,3558,3665,4770,4919,4958,5274,5871,5876,6278,6415,6488,6781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,1605,1795,2049,2313,2330,2368,2379,2454,2723,3035,3037,3533,3653,3665,4915,4966,5425,5871,6217,6279,6488,8046,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1301,1504,1537,1560,1795,2027,2049,2313,2317,2330,2368,2609,2883,2884,2886,3189,3533,3665,3711,4915,4958,5425,5871,5876,6217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2006,1216,1605,1795,2049,2303,2308,2317,2330,2351,2368,2385,2454,2723,2891,3035,3037,3231,3374,3532,3596,3665,3711,4919,4958,4966,5425,5871,6217,6443,8046,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,1301,1560,1795,2027,2049,2317,2330,2368,2454,2609,3017,3035,3533,3653,4915,4919,4958,4966,5425,5871,5876,6217,6515,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,1795,2049,2308,2313,2317,2330,2368,2454,2723,3017,3037,3443,3533,3653,3665,4958,4966,5425,5871,5876,6217,6279,6488,8046,8069,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1301,1504,1560,1795,2049,2313,2317,2330,2368,2609,3017,3037,3189,3533,3665,4915,4958,5425,5871,5876,6217,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
